locus_tag	Lygos_24_1A	Lygos_24_1B	Lygos_24_2A	Lygos_24_2B	Lygos_48_1A	Lygos_48_1B	Lygos_48_2A	Lygos_48_2B
BOH78_3062	3.0	4.0	3.0	4.0	3.0	4.0	5.0	4.0
BOH78_3061	2.0		1.0	2.0	3.0		1.0	2.0
BOH78_3067			1.0	1.0		1.0		
BOH78_3066	6.0	1.0	3.0	3.0	7.0	6.0	3.0	3.0
BOH78_3065	64.0	51.0	82.0	59.0	73.0	51.0	83.0	76.0
BOH78_3064	14.0	14.0	23.0	20.0	18.0	16.0	26.0	21.0
BOH78_3122	1.0							
BOH78_3123	3.0	4.0	7.0	4.0	4.0	3.0	15.0	6.0
BOH78_3127	8.0	7.0	15.0	14.0	15.0	6.0	14.0	6.0
BOH78_3124	5.0	3.0	3.0	1.0	2.0	2.0	5.0	3.0
BOH78_3125						1.0		
BOH78_3108	22.0	20.0	13.0	22.0	19.0	16.0	10.0	16.0
BOH78_3109	2.0	2.0	3.0	4.0	5.0	4.0	2.0	3.0
BOH78_3100	2.0	1.0	3.0	3.0	1.0	1.0	2.0	2.0
BOH78_3101	1.0		1.0	1.0			5.0	
BOH78_3102	5.0	4.0	4.0	6.0	5.0	5.0	2.0	3.0
BOH78_3103	1.0	1.0	1.0		2.0	2.0	2.0	
BOH78_3104			1.0		1.0			
BOH78_3106	5.0	4.0	5.0	7.0	4.0	2.0	3.0	1.0
BOH78_3146		2.0	3.0		1.0		4.0	1.0
BOH78_3147	10.0	9.0	8.0	9.0	15.0	9.0	9.0	9.0
BOH78_3140	13.0	9.0	12.0	12.0	15.0	11.0	8.0	8.0
BOH78_3143				1.0	1.0			1.0
BOH78_3148					1.0			
BOH78_3149	2.0	2.0	4.0	3.0	4.0	3.0	4.0	2.0
BOH78_3098	10.0	5.0	6.0	8.0	13.0	4.0	6.0	7.0
BOH78_3093			1.0		2.0			
BOH78_3091	2.0	1.0	2.0	2.0	3.0	2.0	4.0	1.0
BOH78_3096				1.0				
BOH78_3097	8.0	3.0	2.0	5.0	4.0	3.0	2.0	3.0
BOH78_2949			1.0					
BOH78_2946	6.0	3.0	6.0	5.0	10.0	6.0	6.0	4.0
BOH78_2945	4.0	2.0	1.0	2.0	2.0	3.0		3.0
BOH78_2944	4.0	1.0	3.0	5.0	1.0	2.0	5.0	4.0
BOH78_2942					1.0			
BOH78_2941							1.0	
BOH78_2925	1.0				1.0			
BOH78_2921	15.0	12.0	15.0	17.0	13.0	10.0	11.0	13.0
BOH78_2929	4.0	4.0	2.0	1.0	5.0	2.0	9.0	2.0
BOH78_2928	24.0	18.0	26.0	20.0	18.0	22.0	18.0	16.0
BOH78_2909						1.0		
BOH78_2908	4.0	3.0	4.0	5.0	5.0	2.0	5.0	5.0
BOH78_2900	7.0	6.0	1.0	3.0	5.0	4.0		1.0
BOH78_2907	28.0	18.0	25.0	27.0	21.0	18.0	21.0	21.0
BOH78_2905	7.0	7.0	7.0	7.0	3.0	7.0	5.0	8.0
BOH78_2904	19.0	14.0	19.0	25.0	17.0	17.0	13.0	18.0
BOH78_2889			1.0	1.0				
BOH78_2883	11.0	9.0	12.0	12.0	11.0	10.0	7.0	14.0
BOH78_2881	2.0	1.0	3.0	1.0	1.0		2.0	3.0
BOH78_2886			1.0					
BOH78_2887							1.0	
BOH78_2884								1.0
BOH78_2885	18.0	10.0	19.0	13.0	20.0	12.0	18.0	13.0
BOH78_2983			1.0	1.0		1.0		
BOH78_2981				1.0				
BOH78_2980	15.0	22.0	17.0	20.0	20.0	14.0	17.0	19.0
BOH78_2987	9.0	11.0	9.0	14.0	6.0	4.0	6.0	13.0
BOH78_2986	2.0	2.0	2.0	3.0	3.0	1.0	5.0	2.0
BOH78_2988	4.0	5.0	4.0	9.0	6.0	2.0	3.0	2.0
BOH78_2978	66.0	53.0	69.0	61.0	74.0	42.0	50.0	58.0
BOH78_2979	6.0	5.0	8.0	7.0	11.0	10.0	12.0	9.0
BOH78_2972	15.0	16.0	15.0	18.0	9.0	15.0	11.0	17.0
BOH78_2973	2.0			1.0	3.0	3.0	2.0	1.0
BOH78_2974		1.0	1.0	1.0				
BOH78_3000	1.0	1.0		3.0			2.0	1.0
BOH78_3003	15.0	12.0	17.0	17.0	16.0	12.0	14.0	13.0
BOH78_3002	5.0	3.0	2.0	4.0	5.0	2.0	3.0	3.0
BOH78_3005	8.0	7.0	11.0	9.0	8.0	8.0	9.0	9.0
BOH78_3004	18.0	14.0	23.0	18.0	24.0	18.0	20.0	18.0
